President Name,Years In Office,Number,Party,Average Approval Rating Percentage
Harry S. Truman,1945-1953,33rd,Democratic,45.4
Dwight D. Eisenhower,1953-1961,34th,Republican,65
John F. Kennedy,1961-1963,35th,Democratic,70.1
Lyndon B. Johnson,1963-1969,36th,Democratic,55.1
Richard M. Nixon,1969-1974,37th,Republican,49
Gerald Ford,1974-1977,38th,Republican,47.2
Jimmy Carter,1977-1981,39th,Democratic,45.5
Ronald Reagan,1981-1989,40th,Republican,52.8
George H. W. Bush,1989-1993,41st,Republican,60.9
Bill Clinton,1993-2001,42nd,Democratic,55.1
George W. Bush,2001-2009,43rd,Republican,49.4
Barack Obama,2009-2017,44th,Democratic,47.9
Donald Trump,2017-2021,45th,Republican,41.1
Joe Biden,2021-2025,46th,Democratic,42.2
